Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Mecatrónica,19,124,Mayo - Agosto,2012,,,,
Tecnólogo en Multimedia,91,160,Mayo - Agosto,2012,,,,
Tecnólogo en Redes de Información,40,184,Mayo - Agosto,2012,,,,
Tecnólogo en Desarrollo de Software,53,226,Septiembre- Diciembre,2012,,,,
Tecnólogo en Manufactura Automatizada,8,26,Septiembre- Diciembre,2012,,,,
Tecnólogo en Mecatrónica,25,148,Septiembre- Diciembre,2012,,,,
Tecnólogo en Multimedia,113,171,Septiembre- Diciembre,2012,,,,
Tecnólogo en Redes de Información,43,208,Septiembre- Diciembre,2012,,,,
Tecnólogo en Desarrollo de Software,56,256,Enero - Abril,2013,,,,
Tecnólogo en Manufactura Automatizada,5,25,Enero - Abril,2013,,,,
Tecnólogo en Mecatrónica,27,152,Enero - Abril,2013,,,,
Tecnólogo en Multimedia,120,180,Enero - Abril,2013,,,,
Tecnólogo en Redes de Información,39,212,Enero - Abril,2013,,,,
Tecnólogo en Desarrollo de Software,48,232,Mayo - Agosto,2013,,,,
Tecnólogo en Manufactura Automatizada,6,40,Mayo - Agosto,2013,,,,
Tecnólogo en Mecatrónica,17,117,Mayo - Agosto,2013,,,,
Tecnólogo en Multimedia,110,163,Mayo - Agosto,2013,,,,
Tecnólogo en Redes de Información,38,189,Mayo - Agosto,2013,,,,
Tecnólogo en Desarrollo de Software,58,316,Septiembre- Diciembre,2013,,,,
Tecnólogo en Manufactura Automatizada,10,48,Septiembre- Diciembre,2013,,,,
Tecnólogo en Mecatrónica,21,152,Septiembre- Diciembre,2013,,,,
Tecnólogo en Multimedia,131,205,Septiembre- Diciembre,2013,,,,
Tecnólogo en Redes de Información,67,272,Septiembre- Diciembre,2013,,,,
Tecnólogo en Desarrollo de Software,57,321,Enero - Abril,2014,,,,
Tecnólogo en Manufactura Automatizada,12,52,Enero - Abril,2014,,,,
Tecnólogo en Mecatrónica,19,145,Enero - Abril,2014,,,,
Tecnólogo en Multimedia,137,218,Enero - Abril,2014,,,,
Tecnólogo en Redes de Información,62,282,Enero - Abril,2014,,,,
Tecnólogo en Desarrollo de Software,52,276,Mayo - Agosto,2014,,,,
Tecnólogo en Manufactura Automatizada,12,48,Mayo - Agosto,2014,,,,
Tecnólogo en Mecatrónica,18,130,Mayo - Agosto,2014,,,,
Tecnólogo en Multimedia,107,181,Mayo - Agosto,2014,,,,
Tecnólogo en Redes de Información,54,239,Mayo - Agosto,2014,,,,
Tecnólogo en Desarrollo de Software,77,324,Septiembre- Diciembre,2014,,,,
Tecnólogo en Manufactura Automatizada,14,43,Septiembre- Diciembre,2014,,,,
Tecnólogo en Mecatrónica,23,147,Septiembre- Diciembre,2014,,,,
Tecnólogo en Multimedia,133,190,Septiembre- Diciembre,2014,,,,
Tecnólogo en Redes de Información,65,241,Septiembre- Diciembre,2014,,,,
Tecnólogo en Desarrollo de Software,72,305,Enero - Abril,2015,,,,
Tecnólogo en Manufactura Automatizada,9,34,Enero - Abril,2015,,,,
Tecnólogo en Mecatrónica,18,117,Enero - Abril,2015,,,,
Tecnólogo en Multimedia,125,186,Enero - Abril,2015,,,,
Tecnólogo en Redes de Información,50,230,Enero - Abril,2015,,,,
Tecnólogo en Desarrollo de Software,59,244,Mayo - Agosto,2015,,,,
Tecnólogo en Manufactura Automatizada,10,31,Mayo - Agosto,2015,,,,
Tecnólogo en Mecatrónica,13,106,Mayo - Agosto,2015,,,,
Tecnólogo en Multimedia,88,147,Mayo - Agosto,2015,,,,
Tecnólogo en Redes de Información,46,197,Mayo - Agosto,2015,,,,
Tecnólogo en Desarrollo de Software,57,304,Septiembre- Diciembre,2015,,,,
Tecnólogo en Manufactura Automatizada,10,28,Septiembre- Diciembre,2015,,,,
Tecnólogo en Mecatrónica,17,144,Septiembre- Diciembre,2015,,,,
Tecnólogo en Multimedia,97,171,Septiembre- Diciembre,2015,,,,
Tecnólogo en Redes de Información,50,208,Septiembre- Diciembre,2015,,,,
Tecnólogo en Desarrollo de Software,62,392,Enero - Abril,2016,,,,
Tecnólogo en Manufactura Automatizada,13,21,Enero - Abril,2016,,,,
Tecnólogo en Mecatrónica,19,187,Enero - Abril,2016,,,,
Tecnólogo en Multimedia,106,183,Enero - Abril,2016,,,,
Tecnólogo en Redes de Información,53,230,Enero - Abril,2016,,,,
Tecnólogo en Desarrollo de Software,48,321,Mayo - Agosto,2016,,,,
Tecnólogo en Manufactura Automatizada,9,16,Mayo - Agosto,2016,,,,
Tecnólogo en Mecatrónica,17,147,Mayo - Agosto,2016,,,,
Tecnólogo en Multimedia,85,134,Mayo - Agosto,2016,,,,
Tecnólogo en Redes de Información,42,176,Mayo - Agosto,2016,,,,
Tecnólogo en Desarrollo de Software,64,446,Septiembre- Diciembre,2016,,,,
Tecnólogo en Manufactura Automatizada,8,21,Septiembre- Diciembre,2016,,,,
Tecnólogo en Mecatrónica,16,205,Septiembre- Diciembre,2016,,,,
Tecnólogo en Multimedia,107,176,Septiembre- Diciembre,2016,,,,
